Name,Live Bytes,Live Objects
byte[],"22,977,592 B (32.9%)","364,197 (23%)"
java.lang.String,"5,713,488 B (8.2%)","238,062 (15%)"
java.lang.Object[],"3,537,176 B (5.1%)","98,260 (6.2%)"
int[],"3,193,520 B (4.6%)","25,728 (1.6%)"
char[],"2,996,208 B (4.3%)","10,638 (0.7%)"
java.lang.reflect.Method,"2,647,656 B (3.8%)","30,087 (1.9%)"
java.lang.StringBuilder,"1,554,264 B (2.2%)","64,761 (4.1%)"
java.lang.Class,"1,511,640 B (2.2%)","12,742 (0.8%)"
java.util.concurrent.ConcurrentHashMap$Node,"1,509,568 B (2.2%)","47,174 (3%)"
java.util.LinkedHashMap$Entry,"1,072,240 B (1.5%)","26,806 (1.7%)"
java.util.HashMap$Node[],"959,752 B (1.4%)","12,537 (0.8%)"
java.util.ArrayList,"750,408 B (1.1%)","31,267 (2%)"
java.util.HashMap$Node,"699,616 B (1%)","21,863 (1.4%)"
java.lang.Class[],"683,488 B (1%)","30,301 (1.9%)"
java.util.concurrent.ConcurrentHashMap$Node[],"668,024 B (1%)",885 (0.1%)
java.util.ArrayList$Itr,"648,128 B (0.9%)","20,254 (1.3%)"
org.springframework.core.ResolvableType,"542,832 B (0.8%)","11,309 (0.7%)"
java.util.TreeMap$Entry,"531,240 B (0.8%)","13,281 (0.8%)"
java.util.LinkedHashMap,"523,040 B (0.7%)","9,340 (0.6%)"
org.springframework.expression.TypedValue,"456,816 B (0.7%)","19,034 (1.2%)"
java.lang.String[],"448,016 B (0.6%)","13,221 (0.8%)"
org.thymeleaf.engine.OpenElementTag,"334,800 B (0.5%)","6,975 (0.4%)"
org.springframework.expression.spel.support.ReflectivePropertyAccessor$PropertyCacheKey,"323,904 B (0.5%)","13,496 (0.9%)"
org.thymeleaf.engine.IEngineTemplateEvent[],"320,760 B (0.5%)","1,485 (0.1%)"
java.lang.Object,"314,208 B (0.5%)","19,638 (1.2%)"
org.thymeleaf.engine.ElementProcessorIterator,"302,400 B (0.4%)","6,300 (0.4%)"
java.lang.reflect.Field,"298,296 B (0.4%)","4,143 (0.3%)"
java.util.HashMap,"297,456 B (0.4%)","6,197 (0.4%)"
org.thymeleaf.engine.Text,"259,560 B (0.4%)","4,635 (0.3%)"
java.util.concurrent.ConcurrentHashMap,"250,816 B (0.4%)","3,919 (0.2%)"
org.thymeleaf.processor.element.IElementProcessor[],"249,456 B (0.4%)","8,809 (0.6%)"
java.nio.HeapByteBuffer,"231,168 B (0.3%)","4,128 (0.3%)"
java.util.Formatter$FixedString,"225,920 B (0.3%)","7,060 (0.4%)"
org.springframework.expression.spel.ast.PropertyOrFieldReference$AccessorLValue,"214,560 B (0.3%)","6,705 (0.4%)"
java.util.Formatter$FormatSpecifier,"211,800 B (0.3%)","5,295 (0.3%)"
java.util.Formatter$Flags[],"211,800 B (0.3%)","5,295 (0.3%)"
boolean[],"205,424 B (0.3%)","7,494 (0.5%)"
org.thymeleaf.engine.ProcessorExecutionVars,"201,600 B (0.3%)","6,300 (0.4%)"
org.springframework.expression.spel.ExpressionState,"188,920 B (0.3%)","4,723 (0.3%)"
java.lang.reflect.Method[],"188,576 B (0.3%)","2,942 (0.2%)"
java.io.ObjectStreamClass$WeakClassKey,"185,824 B (0.3%)","5,807 (0.4%)"
org.springframework.core.convert.TypeDescriptor$AnnotatedElementAdapter,"182,448 B (0.3%)","7,602 (0.5%)"
org.springframework.core.convert.TypeDescriptor,"182,184 B (0.3%)","7,591 (0.5%)"
java.util.regex.Matcher,"174,600 B (0.3%)","2,425 (0.2%)"
org.thymeleaf.engine.Attribute,"172,800 B (0.2%)","3,600 (0.2%)"
java.util.LinkedHashMap$LinkedKeyIterator,"165,472 B (0.2%)","5,171 (0.3%)"
org.springframework.expression.spel.support.ReflectivePropertyAccessor$OptimalPropertyAccessor,"162,552 B (0.2%)","6,773 (0.4%)"
org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference,"161,904 B (0.2%)","3,373 (0.2%)"
java.lang.annotation.Annotation[],"158,592 B (0.2%)","8,075 (0.5%)"
java.lang.ref.SoftReference,"152,440 B (0.2%)","3,811 (0.2%)"
java.lang.invoke.MemberName,"145,584 B (0.2%)","3,033 (0.2%)"
java.lang.Class$ReflectionData,"138,496 B (0.2%)","2,164 (0.1%)"
org.springframework.core.ResolvableType$DefaultVariableResolver,"138,320 B (0.2%)","8,645 (0.5%)"
org.thymeleaf.engine.Attribute[],"134,656 B (0.2%)","5,536 (0.3%)"
java.lang.reflect.Constructor,"134,064 B (0.2%)","1,862 (0.1%)"
ch.qos.logback.classic.spi.LoggingEvent,"133,488 B (0.2%)","1,854 (0.1%)"
org.thymeleaf.engine.Attributes,"132,864 B (0.2%)","5,536 (0.3%)"
org.springframework.core.MethodClassKey,"122,136 B (0.2%)","5,089 (0.3%)"
org.thymeleaf.cache.ExpressionCacheKey,"120,032 B (0.2%)","3,751 (0.2%)"
java.nio.StringCharBuffer,"117,040 B (0.2%)","2,090 (0.1%)"
char[][],"113,208 B (0.2%)","2,378 (0.2%)"
com.mysql.cj.jdbc.result.ResultSetImpl,"110,656 B (0.2%)",532 (0%)
org.thymeleaf.spring5.expression.SPELContextMapWrapper,"108,000 B (0.2%)","4,500 (0.3%)"
java.util.ArrayDeque,"104,472 B (0.1%)","4,353 (0.3%)"
org.thymeleaf.engine.CloseElementTag,"99,360 B (0.1%)","2,070 (0.1%)"
long[],"98,400 B (0.1%)",181 (0%)
java.lang.invoke.MethodType,"95,040 B (0.1%)","2,376 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Reference[],"90,264 B (0.1%)","2,022 (0.1%)"
com.mysql.cj.util.LazyString,"88,192 B (0.1%)","2,756 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Entry,"85,488 B (0.1%)","3,562 (0.2%)"
java.util.Formatter$Flags,"84,880 B (0.1%)","5,305 (0.3%)"
jdk.internal.math.FloatingDecimal$ASCIIToBinaryBuffer,"83,680 B (0.1%)","2,615 (0.2%)"
java.lang.ref.WeakReference,"80,064 B (0.1%)","2,502 (0.2%)"
java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry,"76,128 B (0.1%)","2,379 (0.2%)"
org.springframework.util.ConcurrentReferenceHashMap$Segment,"75,520 B (0.1%)","1,888 (0.1%)"
java.util.LinkedHashMap$LinkedEntryIterator,"69,728 B (0.1%)","2,179 (0.1%)"
org.apache.logging.log4j.message.StringFormattedMessage,"68,840 B (0.1%)","1,721 (0.1%)"
java.lang.ref.ReferenceQueue,"67,872 B (0.1%)","2,121 (0.1%)"
java.util.concurrent.locks.ReentrantLock$NonfairSync,"67,200 B (0.1%)","2,100 (0.1%)"
java.util.TreeMap,"63,552 B (0.1%)","1,324 (0.1%)"
sun.util.locale.LocaleObjectCache$CacheEntry,"62,640 B (0.1%)","1,566 (0.1%)"
java.util.TreeMap$KeyIterator,"62,496 B (0.1%)","1,953 (0.1%)"
org.springframework.core.MethodParameter,"60,928 B (0.1%)",952 (0.1%)
java.util.Formatter,"56,480 B (0.1%)","1,765 (0.1%)"
java.lang.invoke.ResolvedMethodName,"52,608 B (0.1%)","2,192 (0.1%)"
java.lang.Integer,"52,176 B (0.1%)","3,261 (0.2%)"
short[],"51,520 B (0.1%)",16 (0%)
org.springframework.context.annotation.ConfigurationClassBeanDefinitionReader$ConfigurationClassBeanDefinition,"49,312 B (0.1%)",268 (0%)
java.util.Collections$UnmodifiableCollection$1,"48,120 B (0.1%)","2,005 (0.1%)"
org.springframework.beans.factory.support.RootBeanDefinition,"47,872 B (0.1%)",272 (0%)
org.thymeleaf.engine.Model,"47,520 B (0.1%)","1,485 (0.1%)"
org.springframework.core.annotation.TypeMappedAnnotation,"46,480 B (0.1%)",830 (0.1%)
ch.qos.logback.classic.Logger,"46,032 B (0.1%)",959 (0.1%)
org.springframework.util.LinkedCaseInsensitiveMap$1,"46,016 B (0.1%)",719 (0%)
org.springframework.web.accept.ContentNegotiationManager$$Lambda$1027.0x000000080122c530,"45,568 B (0.1%)","2,848 (0.2%)"
org.springframework.http.MediaType,"45,408 B (0.1%)","1,419 (0.1%)"
org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager,"45,312 B (0.1%)","1,888 (0.1%)"
org.slf4j.helpers.FormattingTuple,"44,496 B (0.1%)","1,854 (0.1%)"
org.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry[],"43,008 B (0.1%)",96 (0%)
java.io.ObjectStreamClass,"40,920 B (0.1%)",341 (0%)
java.lang.ThreadLocal$ThreadLocalMap$Entry,"38,944 B (0.1%)","1,217 (0.1%)"
sun.reflect.annotation.AnnotationInvocationHandler,"38,904 B (0.1%)","1,621 (0.1%)"
org.thymeleaf.engine.IteratedGatheringModelProcessable,"38,880 B (0.1%)",405 (0%)
java.util.Collections$UnmodifiableMap,"38,848 B (0.1%)","1,214 (0.1%)"
java.util.regex.IntHashSet[],"38,800 B (0.1%)","2,425 (0.2%)"
java.util.LinkedList$Node,"38,304 B (0.1%)","1,596 (0.1%)"
java.lang.management.ThreadInfo,"37,752 B (0.1%)",363 (0%)
sun.util.locale.BaseLocale,"36,896 B (0.1%)","1,153 (0.1%)"
java.util.concurrent.atomic.AtomicInteger,"36,624 B (0.1%)","2,289 (0.1%)"
sun.util.locale.BaseLocale$Key,"36,288 B (0.1%)","1,134 (0.1%)"
org.springframework.core.ResolvableType[],"35,920 B (0.1%)","1,615 (0.1%)"
org.hibernate.engine.internal.MutableEntityEntry,"34,224 B (0%)",713 (0%)
java.lang.ref.ReferenceQueue$Lock,"34,000 B (0%)","2,125 (0.1%)"
java.nio.HeapCharBuffer,"33,992 B (0%)",607 (0%)
org.hibernate.type.descriptor.sql.VarcharTypeDescriptor$2,"33,888 B (0%)","1,059 (0.1%)"
java.util.StringTokenizer,"33,840 B (0%)",705 (0%)
java.util.LinkedHashSet,"33,648 B (0%)","2,103 (0.1%)"
com.mysql.cj.conf.BooleanProperty,"32,960 B (0%)","1,030 (0.1%)"
java.util.HashSet,"32,816 B (0%)","2,051 (0.1%)"
com.mysql.cj.protocol.a.NativePacketPayload,"32,352 B (0%)","1,348 (0.1%)"
com.mysql.cj.result.Field,"32,040 B (0%)",445 (0%)
java.util.concurrent.CopyOnWriteArrayList,"31,992 B (0%)","1,333 (0.1%)"
java.lang.invoke.LambdaForm$Name,"31,904 B (0%)",997 (0.1%)
org.apache.tomcat.util.buf.ByteChunk,"31,776 B (0%)",662 (0%)
java.lang.reflect.Constructor[],"31,064 B (0%)","1,340 (0.1%)"
java.lang.Package$VersionInfo,"31,040 B (0%)",776 (0%)
java.util.TreeMap$EntryIterator,"30,912 B (0%)",966 (0.1%)
org.apache.tomcat.util.buf.CharChunk,"30,432 B (0%)",634 (0%)
java.lang.reflect.Type[],"30,256 B (0%)","1,288 (0.1%)"
java.lang.reflect.Field[],"30,232 B (0%)",786 (0%)
org.apache.tomcat.util.buf.MessageBytes,"30,144 B (0%)",628 (0%)
java.net.URL,"29,696 B (0%)",464 (0%)
java.util.HashMap$EntryIterator,"29,280 B (0%)",732 (0%)
org.springframework.util.LinkedCaseInsensitiveMap,"28,760 B (0%)",719 (0%)
java.util.LinkedHashMap$LinkedKeySet,"27,920 B (0%)","1,745 (0.1%)"
java.util.LinkedList,"27,616 B (0%)",863 (0.1%)
java.io.File,"27,552 B (0%)",861 (0.1%)
java.lang.Package,"27,168 B (0%)",849 (0.1%)
sun.reflect.generics.tree.SimpleClassTypeSignature,"26,952 B (0%)","1,123 (0.1%)"
java.lang.invoke.DirectMethodHandle$Constructor,"26,160 B (0%)",654 (0%)
java.util.Locale,"25,664 B (0%)",802 (0.1%)
java.lang.ref.SoftReference[],"25,432 B (0%)",374 (0%)
java.io.SerialCallbackContext,"25,080 B (0%)","1,045 (0.1%)"
java.util.LinkedHashMap$LinkedValues,"24,064 B (0%)","1,504 (0.1%)"
jdk.internal.reflect.NativeConstructorAccessorImpl,"24,048 B (0%)","1,002 (0.1%)"
java.lang.invoke.DirectMethodHandle,"23,968 B (0%)",749 (0%)
java.util.Hashtable$Entry,"23,520 B (0%)",735 (0%)
java.util.GregorianCalendar,"23,408 B (0%)",209 (0%)
java.math.BigDecimal,"23,240 B (0%)",581 (0%)
org.apache.tomcat.util.http.parser.Cookie$ByteBuffer,"23,232 B (0%)",968 (0.1%)
java.lang.Long,"22,704 B (0%)",946 (0.1%)
com.mysql.cj.protocol.a.NativePacketHeader,"22,640 B (0%)","1,415 (0.1%)"
java.util.Collections$1,"22,440 B (0%)",935 (0.1%)
org.springframework.core.SerializableTypeWrapper$MethodParameterTypeProvider,"22,272 B (0%)",696 (0%)
javax.management.openmbean.CompositeData[],"21,648 B (0%)","1,100 (0.1%)"
com.mysql.cj.result.DefaultColumnDefinition,"21,280 B (0%)",532 (0%)
com.mysql.cj.protocol.a.result.OkPacket,"21,240 B (0%)",531 (0%)
org.hibernate.type.descriptor.sql.IntegerTypeDescriptor$2,"21,184 B (0%)",662 (0%)
sun.util.locale.InternalLocaleBuilder,"21,160 B (0%)",529 (0%)
sun.util.locale.StringTokenIterator,"21,120 B (0%)",528 (0%)
sun.util.locale.LanguageTag,"21,120 B (0%)",528 (0%)
javax.management.openmbean.CompositeDataSupport,"21,072 B (0%)",878 (0.1%)
sun.reflect.generics.tree.TypeArgument[],"20,832 B (0%)","1,123 (0.1%)"
java.text.DateFormatSymbols,"20,800 B (0%)",325 (0%)
sun.util.calendar.Gregorian$Date,"20,064 B (0%)",209 (0%)
java.util.LinkedHashMap$LinkedValueIterator,"20,064 B (0%)",627 (0%)
java.util.HashMap$KeyIterator,"20,040 B (0%)",501 (0%)
java.lang.CharSequence[],"20,008 B (0%)",688 (0%)
org.thymeleaf.standard.expression.LiteralValue,"19,872 B (0%)","1,242 (0.1%)"
java.lang.Class$AnnotationData,"19,704 B (0%)",821 (0.1%)
org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog,"19,440 B (0%)",810 (0.1%)
java.util.Arrays$ArrayItr,"19,272 B (0%)",803 (0.1%)
org.springframework.core.annotation.AnnotationTypeMapping,"19,152 B (0%)",266 (0%)
jdk.internal.ref.CleanerImpl$PhantomCleanableRef,"19,008 B (0%)",396 (0%)
java.util.WeakHashMap$Entry[],"18,944 B (0%)",206 (0%)
java.beans.MethodRef,"18,864 B (0%)",786 (0%)
java.lang.Module,"18,592 B (0%)",332 (0%)
org.hibernate.engine.spi.EntityKey,"18,288 B (0%)",762 (0%)
byte[][],"18,064 B (0%)",449 (0%)
org.thymeleaf.engine.HTMLAttributeName,"18,040 B (0%)",451 (0%)
jdk.internal.reflect.DelegatingClassLoader,"17,680 B (0%)",221 (0%)
sun.reflect.generics.tree.ClassTypeSignature,"17,232 B (0%)","1,077 (0.1%)"
org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements,"17,200 B (0%)",430 (0%)
java.beans.MethodDescriptor,"17,136 B (0%)",306 (0%)
org.springframework.util.MimeType$$Lambda$232.0x0000000800cb2200,"17,064 B (0%)",711 (0%)
com.mysql.cj.result.StringValueFactory,"16,944 B (0%)","1,059 (0.1%)"
java.util.concurrent.ConcurrentHashMap$MapEntry,"16,896 B (0%)",704 (0%)
java.lang.StackTraceElement[],"16,768 B (0%)",729 (0%)
jdk.internal.reflect.DelegatingConstructorAccessorImpl,"16,672 B (0%)","1,042 (0.1%)"
com.mysql.cj.conf.StringProperty,"16,640 B (0%)",520 (0%)
org.springframework.boot.devtools.filewatch.FileSnapshot,"16,320 B (0%)",408 (0%)
org.springframework.core.annotation.TypeMappedAnnotations,"16,080 B (0%)",402 (0%)
org.apache.tomcat.util.http.ValuesEnumerator,"15,520 B (0%)",485 (0%)
org.springframework.core.type.classreading.SimpleAnnotationMetadata,"15,400 B (0%)",275 (0%)
java.lang.StackTraceElement,"15,312 B (0%)",319 (0%)
java.util.jar.JarFile$JarFileEntry,"15,168 B (0%)",158 (0%)
java.util.TreeMap$EntrySet,"14,832 B (0%)",927 (0.1%)
java.lang.StringBuffer,"14,816 B (0%)",463 (0%)
java.security.CodeSource,"14,320 B (0%)",358 (0%)
org.springframework.security.web.access.expression.WebSecurityExpressionRoot,"14,272 B (0%)",223 (0%)
com.mysql.cj.jdbc.ClientPreparedStatement,"14,240 B (0%)",89 (0%)
org.springframework.util.LinkedCaseInsensitiveMap$EntrySetIterator,"14,208 B (0%)",444 (0%)
java.io.StringReader,"14,160 B (0%)",354 (0%)
java.util.TreeMap$KeySet,"14,160 B (0%)",885 (0.1%)
java.security.ProtectionDomain,"13,840 B (0%)",346 (0%)
org.springframework.boot.context.properties.source.ConfigurationPropertyName,"13,760 B (0%)",430 (0%)
java.lang.invoke.BoundMethodHandle$Species_L,"13,664 B (0%)",427 (0%)
org.thymeleaf.util.ProcessorConfigurationUtils$ElementTagProcessorWrapper,"13,640 B (0%)",341 (0%)
java.util.jar.Attributes$Name,"13,584 B (0%)",566 (0%)
java.util.zip.Inflater,"13,504 B (0%)",211 (0%)
org.thymeleaf.engine.IteratedGatheringModelProcessable$IterationModels,"12,992 B (0%)",406 (0%)
org.springframework.expression.spel.standard.Token,"12,960 B (0%)",405 (0%)
java.util.WeakHashMap$Entry,"12,880 B (0%)",322 (0%)
com.mysql.cj.protocol.a.PacketSplitter,"12,840 B (0%)",535 (0%)
java.lang.Double,"12,720 B (0%)",530 (0%)
java.util.Optional,"12,688 B (0%)",793 (0.1%)
org.apache.tomcat.util.http.parser.AcceptLanguage,"12,672 B (0%)",528 (0%)
sun.util.locale.ParseStatus,"12,672 B (0%)",528 (0%)
org.springframework.core.annotation.SynthesizedMergedAnnotationInvocationHandler$$Lambda$487.0x0000000800e3e8b8,"12,672 B (0%)",528 (0%)
org.springframework.expression.spel.support.StandardEvaluationContext,"12,600 B (0%)",225 (0%)
org.springframework.beans.BeanMetadataAttribute,"12,456 B (0%)",519 (0%)
org.springframework.web.context.request.ServletWebRequest,"12,400 B (0%)",310 (0%)
org.springframework.beans.GenericTypeAwarePropertyDescriptor,"12,288 B (0%)",128 (0%)
java.util.Collections$UnmodifiableSet,"12,288 B (0%)",768 (0%)
java.lang.invoke.LambdaForm$Name[],"12,272 B (0%)",249 (0%)
org.hibernate.internal.SessionImpl,"12,104 B (0%)",89 (0%)
java.lang.invoke.LambdaForm,"11,712 B (0%)",244 (0%)
com.example.vvs.webapp.model.Product,"11,488 B (0%)",359 (0%)
org.hibernate.engine.internal.EntityEntryContext$ManagedEntityImpl,"11,488 B (0%)",359 (0%)
com.mysql.cj.protocol.a.result.ByteArrayRow,"11,488 B (0%)",359 (0%)
java.util.Arrays$ArrayList,"11,088 B (0%)",462 (0%)
org.springframework.core.annotation.AnnotationTypeMappings[],"10,920 B (0%)",413 (0%)
jdk.internal.math.FDBigInteger,"10,912 B (0%)",341 (0%)
org.springframework.core.annotation.MergedAnnotation[],"10,896 B (0%)",412 (0%)
org.springframework.boot.context.properties.source.ConfigurationPropertyName$ElementType[],"10,880 B (0%)",275 (0%)
java.util.concurrent.CopyOnWriteArrayList$COWIterator,"10,848 B (0%)",452 (0%)
org.springframework.aop.framework.AdvisedSupport$MethodCacheKey,"10,824 B (0%)",451 (0%)
org.springframework.expression.spel.support.ReflectivePropertyAccessor,"10,800 B (0%)",270 (0%)
java.util.concurrent.CopyOnWriteArraySet,"10,752 B (0%)",672 (0%)
com.mysql.cj.result.Field[],"10,648 B (0%)",532 (0%)
org.springframework.beans.factory.support.MethodOverrides,"10,640 B (0%)",665 (0%)
org.springframework.web.servlet.handler.DispatcherServletWebRequest,"10,640 B (0%)",266 (0%)
org.thymeleaf.processor.element.MatchingAttributeName,"10,624 B (0%)",332 (0%)
java.util.LinkedHashMap$LinkedEntrySet,"10,448 B (0%)",653 (0%)
com.mysql.cj.conf.IntegerProperty,"10,240 B (0%)",320 (0%)
sun.reflect.generics.factory.CoreReflectionFactory,"10,224 B (0%)",426 (0%)
java.io.ObjectStreamField,"10,160 B (0%)",254 (0%)
org.springframework.core.convert.Property,"10,040 B (0%)",251 (0%)
org.springframework.beans.BeanWrapperImpl,"10,008 B (0%)",139 (0%)
java.text.Format[],"9,968 B (0%)",178 (0%)
java.util.Collections$UnmodifiableRandomAccessList,"9,936 B (0%)",414 (0%)
java.lang.invoke.LambdaForm$NamedFunction,"9,920 B (0%)",310 (0%)
org.springframework.core.annotation.MergedAnnotationsCollection,"9,888 B (0%)",412 (0%)
org.springframework.core.convert.converter.GenericConverter$ConvertiblePair,"9,864 B (0%)",411 (0%)
java.util.Calendar$Builder,"9,856 B (0%)",176 (0%)
jdk.internal.reflect.NativeMethodAccessorImpl,"9,840 B (0%)",410 (0%)
org.springframework.beans.factory.annotation.AnnotatedGenericBeanDefinition,"9,744 B (0%)",87 (0%)
org.thymeleaf.engine.IterationStatusVar,"9,720 B (0%)",405 (0%)
org.thymeleaf.model.IProcessableElementTag[],"9,720 B (0%)",90 (0%)
javax.management.ObjectName$Property[],"9,632 B (0%)",307 (0%)
java.util.WeakHashMap,"9,600 B (0%)",200 (0%)
java.lang.Thread,"9,568 B (0%)",26 (0%)
java.lang.module.ModuleDescriptor$Exports,"9,504 B (0%)",396 (0%)
java.util.Hashtable$Entry[],"9,496 B (0%)",138 (0%)
java.lang.invoke.DirectMethodHandle$Special,"9,440 B (0%)",236 (0%)
org.springframework.util.ConcurrentReferenceHashMap$Segment[],"9,440 B (0%)",118 (0%)
java.util.logging.LogManager$LoggerWeakRef,"9,264 B (0%)",193 (0%)
org.hibernate.engine.internal.StatefulPersistenceContext,"9,256 B (0%)",89 (0%)
com.mysql.cj.ClientPreparedQuery,"9,256 B (0%)",89 (0%)
org.springframework.data.util.Lazy,"9,168 B (0%)",382 (0%)
sun.reflect.generics.repository.MethodRepository,"8,760 B (0%)",219 (0%)
jdk.internal.reflect.DelegatingMethodAccessorImpl,"8,752 B (0%)",547 (0%)
org.thymeleaf.engine.StandaloneElementTag,"8,640 B (0%)",180 (0%)
org.hibernate.engine.internal.EntityEntryContext$EntityEntryCrossRefImpl,"8,616 B (0%)",359 (0%)
jdk.internal.loader.NativeLibraries,"8,576 B (0%)",268 (0%)
sun.reflect.generics.tree.FieldTypeSignature[],"8,568 B (0%)",433 (0%)
org.hibernate.engine.spi.QueryParameters,"8,544 B (0%)",89 (0%)
com.mysql.cj.protocol.Resultset$Type[],"8,480 B (0%)",265 (0%)
org.apache.logging.slf4j.SLF4JLogger,"8,440 B (0%)",211 (0%)
java.lang.reflect.TypeVariable[],"8,416 B (0%)",437 (0%)
org.springframework.core.convert.support.GenericConversionService$ConverterCacheKey,"8,400 B (0%)",350 (0%)
java.util.concurrent.ConcurrentHashMap$TreeNode,"8,352 B (0%)",174 (0%)
com.mysql.cj.MysqlCharset[],"8,208 B (0%)",1 (0%)
java.util.regex.Pattern,"8,096 B (0%)",92 (0%)
java.beans.PropertyDescriptor,"8,064 B (0%)",112 (0%)
java.lang.Object[][],"7,968 B (0%)",181 (0%)
org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets$MirrorSet[],"7,952 B (0%)",304 (0%)
sun.security.util.KnownOIDs,"7,904 B (0%)",247 (0%)
sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl,"7,632 B (0%)",318 (0%)
sun.reflect.generics.scope.ClassScope,"7,584 B (0%)",316 (0%)
com.sun.proxy.$Proxy35,"7,536 B (0%)",471 (0%)
org.springframework.boot.autoconfigure.condition.ConditionOutcome,"7,512 B (0%)",313 (0%)
org.springframework.boot.autoconfigure.condition.ConditionEvaluationReport$ConditionAndOutcome,"7,512 B (0%)",313 (0%)
org.springframework.core.type.classreading.SimpleMethodMetadataReadingVisitor$Source,"7,488 B (0%)",234 (0%)
org.springframework.core.type.classreading.SimpleMethodMetadata,"7,488 B (0%)",234 (0%)
org.springframework.ui.ModelMap,"7,448 B (0%)",133 (0%)
java.lang.reflect.Parameter,"7,440 B (0%)",186 (0%)
java.util.Date,"7,440 B (0%)",310 (0%)
sun.reflect.generics.tree.FormalTypeParameter[],"7,424 B (0%)",424 (0%)
org.springframework.core.io.ClassPathResource,"7,392 B (0%)",308 (0%)
java.util.concurrent.ConcurrentHashMap$EntryIterator,"7,392 B (0%)",132 (0%)
org.thymeleaf.engine.HTMLAttributeDefinition,"7,360 B (0%)",230 (0%)
org.springframework.beans.MutablePropertyValues,"7,344 B (0%)",306 (0%)
java.lang.invoke.MethodTypeForm,"7,328 B (0%)",229 (0%)
com.mysql.cj.ServerVersion,"7,296 B (0%)",228 (0%)
sun.reflect.generics.tree.MethodTypeSignature,"7,264 B (0%)",227 (0%)
jdk.internal.loader.AbstractClassLoaderValue$Sub,"7,200 B (0%)",300 (0%)
org.springframework.core.MethodParameter$$Lambda$320.0x0000000800d2fdd0,"7,168 B (0%)",448 (0%)
com.mysql.cj.protocol.a.MysqlTextValueDecoder,"7,152 B (0%)",447 (0%)
org.springframework.web.context.request.ServletRequestAttributes,"7,120 B (0%)",178 (0%)
org.springframework.web.method.HandlerMethod$ReturnValueMethodParameter,"7,120 B (0%)",89 (0%)
org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod,"7,120 B (0%)",89 (0%)
java.text.MessageFormat,"7,120 B (0%)",178 (0%)
org.springframework.core.annotation.AnnotationTypeMapping[],"7,048 B (0%)",266 (0%)
java.io.FileCleanable,"6,944 B (0%)",124 (0%)
org.springframework.expression.spel.standard.SpelExpression,"6,880 B (0%)",172 (0%)
org.springframework.core.convert.support.GenericConversionService$ConvertersForPair,"6,864 B (0%)",429 (0%)
java.io.ObjectStreamClass$FieldReflectorKey,"6,760 B (0%)",169 (0%)
org.springframework.web.method.HandlerMethod,"6,720 B (0%)",105 (0%)
java.io.FileDescriptor,"6,680 B (0%)",167 (0%)
java.util.HashMap$ValueIterator,"6,640 B (0%)",166 (0%)
java.util.Hashtable,"6,624 B (0%)",138 (0%)
org.springframework.core.type.classreading.SimpleMetadataReader,"6,600 B (0%)",275 (0%)
org.springframework.expression.spel.ast.MethodReference,"6,528 B (0%)",136 (0%)
com.mysql.cj.conf.PropertyKey,"6,528 B (0%)",204 (0%)
javax.management.ImmutableDescriptor,"6,504 B (0%)",271 (0%)
java.util.Collections$SingletonList,"6,456 B (0%)",269 (0%)
java.io.DataOutputStream,"6,440 B (0%)",161 (0%)
org.springframework.expression.spel.support.ReflectivePropertyAccessor$InvokerPair,"6,432 B (0%)",268 (0%)
com.mysql.cj.ClientPreparedQueryBindings,"6,408 B (0%)",89 (0%)
com.mysql.cj.ParseInfo,"6,408 B (0%)",89 (0%)
java.util.ImmutableCollections$Set12,"6,384 B (0%)",266 (0%)
java.util.concurrent.ConcurrentLinkedQueue$Node,"6,384 B (0%)",266 (0%)
org.springframework.core.annotation.AnnotationTypeMapping$MirrorSets,"6,384 B (0%)",266 (0%)
java.util.zip.ZipFile$Source,"6,320 B (0%)",79 (0%)
sun.reflect.generics.repository.ClassRepository,"6,304 B (0%)",197 (0%)
java.util.IdentityHashMap,"6,240 B (0%)",156 (0%)
java.lang.Short,"6,160 B (0%)",385 (0%)
org.thymeleaf.engine.ProcessorTemplateHandler,"6,120 B (0%)",45 (0%)
java.util.concurrent.ConcurrentHashMap$ReservationNode,"6,080 B (0%)",190 (0%)
java.util.concurrent.ConcurrentHashMap$KeyIterator,"6,048 B (0%)",108 (0%)
java.lang.Character,"6,032 B (0%)",377 (0%)
com.mysql.cj.jdbc.result.ResultSetFactory,"5,984 B (0%)",187 (0%)
java.lang.management.MonitorInfo[],"5,824 B (0%)",364 (0%)
java.lang.management.LockInfo[],"5,824 B (0%)",364 (0%)
com.mysql.cj.conf.BooleanPropertyDefinition,"5,768 B (0%)",103 (0%)
java.net.URI,"5,760 B (0%)",72 (0%)
